"","Habitat","Mangrove_Dist","Depth","StDev_Depth","Slope","Curvature","Plan_Curve","BPI_Fine","BPI_Broad","Rugosity","Mean_Sum_Temp","Mean_Sum_DO","Mean_Sum_Sal","Mean_Win_Temp","Mean_Win_DO","Mean_Win_Sal"
"Habitat",1,-0.0407371456591381,0.00789141939494232,0.0891651828978932,0.0854566242545591,0.00666072908861411,0.00537785737058143,0.0292289353597275,0.00712574934768541,0.0523900895481472,0.261529748456342,0.127174812867299,0.0536374086653201,0.279877300857495,-0.0883743929697998,0.0786896539170684
"Mangrove_Dist",-0.0407371456591381,1,-0.32740347940207,0.111998538892039,0.109644509386079,-0.000221958680400578,-0.00332044250679141,0.0374449564947844,-0.0847039515934045,-0.0133281271720225,0.12541143342409,0.119951811091577,0.0878766014948257,0.192541493232824,-0.0938731409323631,0.0147075801940639
"Depth",0.00789141939494232,-0.32740347940207,1,-0.385410522107205,-0.382503367292442,0.0193031848371229,0.00855037021940361,0.0212392185717517,0.532598156957365,-0.0161195093674962,0.221893061956961,-0.3395950247811,-0.0820321269172662,-0.300647490908052,0.234742148639894,-0.297242531694739
"StDev_Depth",0.0891651828978932,0.111998538892039,-0.385410522107205,1,0.974464772743992,-0.00627847817309425,0.0389576495533893,0.208928415760026,-0.204637102661192,0.340972487020936,-0.192026273769326,0.160350546268624,0.0146622146767988,0.0631430718739816,-0.0908447708249692,0.134519930272045
"Slope",0.0854566242545591,0.109644509386079,-0.382503367292442,0.974464772743992,1,0.00501894069647959,0.0451058918388844,0.210355025879098,-0.208293815350664,0.393306479365176,-0.18659011850061,0.158294152883635,0.0161290356681182,0.0649403264984549,-0.0914568084380126,0.133399971428518
"Curvature",0.00666072908861411,-0.000221958680400578,0.0193031848371229,-0.00627847817309425,0.00501894069647959,1,0.745975896811597,0.190307283151183,0.0445551243571399,-0.011274579351543,4.64424783945604e-05,-2.36690081023376e-07,1.26157243560396e-05,-3.48952010837921e-05,-1.93980595508157e-05,1.63256332501775e-05
"Plan_Curve",0.00537785737058143,-0.00332044250679141,0.00855037021940361,0.0389576495533893,0.0451058918388844,0.745975896811597,1,0.121120983443716,0.0265296760381416,0.0645732885253938,0.000149205669899132,0.00126683347221083,-0.0012671779977223,-0.000199141862675529,-0.000544962466007044,0.00161412862925106
"BPI_Fine",0.0292289353597275,0.0374449564947844,0.0212392185717517,0.208928415760026,0.210355025879098,0.190307283151183,0.121120983443716,1,0.226265421875498,0.0994734619764281,-0.0560081595431336,0.0370584182677086,-0.00032760002055652,-0.00418514017174558,-0.0187280640221114,0.0320201982659886
"BPI_Broad",0.00712574934768541,-0.0847039515934045,0.532598156957365,-0.204637102661192,-0.208293815350664,0.0445551243571399,0.0265296760381416,0.226265421875498,1,-0.00944693055720637,0.00241419723202145,0.00552211374446679,0.000880197349768559,-0.0127138803416166,-0.00507288720283623,0.015648463270431
"Rugosity",0.0523900895481472,-0.0133281271720225,-0.0161195093674962,0.340972487020936,0.393306479365176,-0.011274579351543,0.0645732885253938,0.0994734619764281,-0.00944693055720637,1,-0.0222934212307777,0.00301665294819007,-0.00747953540989218,-0.0125885943527976,0.00201443720450483,0.00232131201813408
"Mean_Sum_Temp",0.261529748456342,0.12541143342409,0.221893061956961,-0.192026273769326,-0.18659011850061,4.64424783945604e-05,0.000149205669899132,-0.0560081595431336,0.00241419723202145,-0.0222934212307777,1,0.176184365123598,0.284580550532337,0.420441799249304,-0.229561832532739,0.196908614398376
"Mean_Sum_DO",0.127174812867299,0.119951811091577,-0.3395950247811,0.160350546268624,0.158294152883635,-2.36690081023376e-07,0.00126683347221083,0.0370584182677086,0.00552211374446679,0.00301665294819007,0.176184365123598,1,0.362375212319994,0.699799669238197,-0.401559382774263,0.83016902772175
"Mean_Sum_Sal",0.0536374086653201,0.0878766014948257,-0.0820321269172662,0.0146622146767988,0.0161290356681182,1.26157243560396e-05,-0.0012671779977223,-0.00032760002055652,0.000880197349768559,-0.00747953540989218,0.284580550532337,0.362375212319994,1,0.259875670279823,-0.681013775195639,0.613458625805386
"Mean_Win_Temp",0.279877300857495,0.192541493232824,-0.300647490908052,0.0631430718739816,0.0649403264984549,-3.48952010837921e-05,-0.000199141862675529,-0.00418514017174558,-0.0127138803416166,-0.0125885943527976,0.420441799249304,0.699799669238197,0.259875670279823,1,-0.399087289502164,0.568460539907808
"Mean_Win_DO",-0.0883743929697998,-0.0938731409323631,0.234742148639894,-0.0908447708249692,-0.0914568084380126,-1.93980595508157e-05,-0.000544962466007044,-0.0187280640221114,-0.00507288720283623,0.00201443720450483,-0.229561832532739,-0.401559382774263,-0.681013775195639,-0.399087289502164,1,-0.70675292744291
"Mean_Win_Sal",0.0786896539170684,0.0147075801940639,-0.297242531694739,0.134519930272045,0.133399971428518,1.63256332501775e-05,0.00161412862925106,0.0320201982659886,0.015648463270431,0.00232131201813408,0.196908614398376,0.83016902772175,0.613458625805386,0.568460539907808,-0.70675292744291,1
