"","Habitat","Mangrove_Dist","Depth","SD_Depth","Slope","Curvature","Plan_Curve","BPI_Fine","BPI_Broad","Rugosity","Sum_Temp","Sum_DO","Sum_Sal","Win_Temp","Win_DO","Win_Sal"
"Habitat",1,0.0359204986960762,-0.130690981630508,0.237317141496023,0.223234260615831,0.00828821731629502,0.0117790079196219,0.0851841196834597,0.030677493236724,0.117971759478317,0.0967307640337197,0.126384537555264,-0.00285152635134241,0.200116753247407,-0.0635768414193908,0.0476273561221787
"Mangrove_Dist",0.0359204986960762,1,-0.501883732178089,0.286404539952879,0.295595843391431,-0.000228090516453421,-0.00287951988901322,0.104117055946862,-0.0712652759808273,0.00202131215278262,-0.328268444777654,0.288746055357016,0.129763114882865,0.377752515727175,-0.240461330225335,0.207077003661808
"Depth",-0.130690981630508,-0.501883732178089,1,-0.40624697176079,-0.417330004011768,0.0249293569894975,0.00809405713272614,0.0163449053122027,0.616298484535152,-0.0248267522114161,0.102822199924326,-0.481106416067473,-0.169577753494814,-0.583467974178319,0.23467388501495,-0.395025898847301
"SD_Depth",0.237317141496023,0.286404539952879,-0.40624697176079,1,0.998730754712718,0.0171419406965004,0.0602855231765121,0.228415176620285,-0.170258416377883,0.46159692379044,-0.0521304256279426,0.257557330292402,0.0648397081668081,0.308744060846856,-0.0951469509872084,0.190457261986086
"Slope",0.223234260615831,0.295595843391431,-0.417330004011768,0.998730754712718,1,0.0169762412844954,0.0576960949116483,0.224445509185622,-0.176957167588906,0.423891716814367,-0.05589984210097,0.261730339701619,0.0673711076333688,0.314112305252431,-0.0982079647573045,0.195147688686445
"Curvature",0.00828821731629502,-0.000228090516453421,0.0249293569894975,0.0171419406965004,0.0169762412844954,1,0.732043238497796,0.205721075793608,0.0496107260893281,0.0389692619885592,3.6889843878821e-05,-3.64617774452723e-07,-5.33602346000875e-06,-8.013337045199e-05,-1.18474458677725e-05,1.37403529988198e-05
"Plan_Curve",0.0117790079196219,-0.00287951988901322,0.00809405713272614,0.0602855231765121,0.0576960949116483,0.732043238497796,1,0.128134799093548,0.0283394648730433,0.0910114788879377,0.00608298472710668,0.00453890927786685,0.000345357335472138,0.00721741690981081,-0.000985561691622574,0.00314706628575292
"BPI_Fine",0.0851841196834597,0.104117055946862,0.0163449053122027,0.228415176620285,0.224445509185622,0.205721075793608,0.128134799093548,1,0.257898219405034,0.111415175168766,-0.0156379846383765,0.088394487731622,0.0210748580941987,0.1046089527432,-0.0334516884586368,0.0668839452201832
"BPI_Broad",0.030677493236724,-0.0712652759808273,0.616298484535152,-0.170258416377883,-0.176957167588906,0.0496107260893281,0.0283394648730433,0.257898219405034,1,-0.00468112805842465,0.0364447790865995,0.00724879810957516,0.00135304992787184,-0.0183971044731138,-0.00581256732522692,0.0154412648175171
"Rugosity",0.117971759478317,0.00202131215278262,-0.0248267522114161,0.46159692379044,0.423891716814367,0.0389692619885592,0.0910114788879377,0.111415175168766,-0.00468112805842465,1,0.010264195030382,0.0210663348770924,0.000916213910834252,0.0241131674171434,0.00114266817497409,0.00970294994233729
"Sum_Temp",0.0967307640337197,-0.328268444777654,0.102822199924326,-0.0521304256279426,-0.05589984210097,3.6889843878821e-05,0.00608298472710668,-0.0156379846383765,0.0364447790865995,0.010264195030382,1,0.094426590294325,0.263269229237997,0.172353312581494,-0.33662305894042,0.212089936880921
"Sum_DO",0.126384537555264,0.288746055357016,-0.481106416067473,0.257557330292402,0.261730339701619,-3.64617774452723e-07,0.00453890927786685,0.088394487731622,0.00724879810957516,0.0210663348770924,0.094426590294325,1,0.341577727190111,0.923087671956201,-0.316602201756141,0.821785261730032
"Sum_Sal",-0.00285152635134241,0.129763114882865,-0.169577753494814,0.0648397081668081,0.0673711076333688,-5.33602346000875e-06,0.000345357335472138,0.0210748580941987,0.00135304992787184,0.000916213910834252,0.263269229237997,0.341577727190111,1,0.265863713161658,-0.792296790761256,0.635575171398267
"Win_Temp",0.200116753247407,0.377752515727175,-0.583467974178319,0.308744060846856,0.314112305252431,-8.013337045199e-05,0.00721741690981081,0.1046089527432,-0.0183971044731138,0.0241131674171434,0.172353312581494,0.923087671956201,0.265863713161658,1,-0.34727810440854,0.732481121699128
"Win_DO",-0.0635768414193908,-0.240461330225335,0.23467388501495,-0.0951469509872084,-0.0982079647573045,-1.18474458677725e-05,-0.000985561691622574,-0.0334516884586368,-0.00581256732522692,0.00114266817497409,-0.33662305894042,-0.316602201756141,-0.792296790761256,-0.34727810440854,1,-0.650611192332662
"Win_Sal",0.0476273561221787,0.207077003661808,-0.395025898847301,0.190457261986086,0.195147688686445,1.37403529988198e-05,0.00314706628575292,0.0668839452201832,0.0154412648175171,0.00970294994233729,0.212089936880921,0.821785261730032,0.635575171398267,0.732481121699128,-0.650611192332662,1
