"","Overall","Variable","Species"
"Habitat2",12.8760863860945,"Scattered Coral/Rock","Lutjanus griseus"
"Habitat3",0,"Continuous Seagrass","Lutjanus griseus"
"Habitat4",20.4943517207883,"Discontinuous Seagrass","Lutjanus griseus"
"Habitat5",0,"Unconsolidated Sediment","Lutjanus griseus"
"Habitat6",0,"Aggregate Reef","Lutjanus griseus"
"Habitat8",30.7290589529756,"Pavement","Lutjanus griseus"
"Habitat10",33.1733476945825,"Reef Rubble","Lutjanus griseus"
"Habitat11",0.924336401639511,"Mangrove","Lutjanus griseus"
"Mangrove_Dist",53.221094586274,"Mangrove Distance","Lutjanus griseus"
"Depth",100,"Depth","Lutjanus griseus"
"Slope",0,"Slope","Lutjanus griseus"
"Curvature",0,"Curvature","Lutjanus griseus"
"Rugosity",8.57065461178627,"Rugosity","Lutjanus griseus"
"BPI_Broad",0,"BPI Broad","Lutjanus griseus"
"BPI_Fine",18.3330227440627,"BPI Fine","Lutjanus griseus"
"Mean_Sum_Temp",49.4241770796696,"Summer Temperature","Lutjanus griseus"
"Mean_Sum_Sal",0,"Summer Salinity","Lutjanus griseus"
"Mean_Win_Sal",15.1711573968687,"Winter Salinity","Lutjanus griseus"
"Habitat21",0.114558517464268,"Scattered Coral/Rock","Haemulon sciurus"
"Habitat31",0,"Continuous Seagrass","Haemulon sciurus"
"Habitat41",16.321697816797,"Discontinuous Seagrass","Haemulon sciurus"
"Habitat51",8.04790638698276,"Unconsolidated Sediment","Haemulon sciurus"
"Habitat61",5.98916938149322,"Aggregate Reef","Haemulon sciurus"
"Habitat81",19.7754188322062,"Pavement","Haemulon sciurus"
"Habitat101",12.8189075860977,"Reef Rubble","Haemulon sciurus"
"Habitat111",11.2710099341563,"Mangrove","Haemulon sciurus"
"Mangrove_Dist1",0,"Mangrove Distance","Haemulon sciurus"
"Depth1",42.5499379664237,"Depth","Haemulon sciurus"
"Slope1",10.7514910158988,"Slope","Haemulon sciurus"
"Curvature1",0.0823469061356652,"Curvature","Haemulon sciurus"
"Rugosity1",1.85784424093045,"Rugosity","Haemulon sciurus"
"BPI_Broad1",13.2139823933791,"BPI Broad","Haemulon sciurus"
"BPI_Fine1",3.30131859125578,"BPI Fine","Haemulon sciurus"
"Mean_Sum_Temp1",1.84106295477603,"Summer Temperature","Haemulon sciurus"
"Mean_Sum_Sal1",5.60013885016209,"Summer Salinity","Haemulon sciurus"
"Mean_Win_Sal1",100,"Winter Salinity","Haemulon sciurus"
