"","Overall","Variable","Species"
"1",0.0339,"BPI Broad","Lutjanus griseus"
"2",0,"BPI Broad","Haemulon sciurus"
"3",0.0406,"BPI Fine","Lutjanus griseus"
"4",2e-04,"BPI Fine","Haemulon sciurus"
"5",0,"Curvature","Lutjanus griseus"
"6",0,"Curvature","Haemulon sciurus"
"7",11.4286,"Depth","Lutjanus griseus"
"8",4.8888,"Depth","Haemulon sciurus"
"9",48.2771,"Habitat","Lutjanus griseus"
"10",60.2876,"Habitat","Haemulon sciurus"
"11",30.3826,"Mangrove Distance","Lutjanus griseus"
"12",13.584,"Mangrove Distance","Haemulon sciurus"
"13",2.4697,"Summer Salinity","Lutjanus griseus"
"14",0.0612,"Summer Salinity","Haemulon sciurus"
"15",2.1237,"Summer Temperature","Lutjanus griseus"
"16",0,"Summer Temperature","Haemulon sciurus"
"17",0.009,"Winter Salinity","Lutjanus griseus"
"18",8.9524,"Winter Salinity","Haemulon sciurus"
"19",0,"Rugosity","Lutjanus griseus"
"20",0,"Rugosity","Haemulon sciurus"
"21",5.2348,"Slope","Lutjanus griseus"
"22",12.2257,"Slope","Haemulon sciurus"
