"","Overall","Variable","Species"
"Habitat2",21.5209838058841,"Scattered Coral/Rock","Lutjanus griseus"
"Habitat3",1.5399475394157,"Continuous Seagrass","Lutjanus griseus"
"Habitat4",27.1233850182438,"Discontinuous Seagrass","Lutjanus griseus"
"Habitat5",4.34639079209493,"Unconsolidated Sediment","Lutjanus griseus"
"Habitat6",2.76624021657169,"Aggregate Reef","Lutjanus griseus"
"Habitat8",39.8600693504158,"Pavement","Lutjanus griseus"
"Habitat10",45.0514616412587,"Reef Rubble","Lutjanus griseus"
"Habitat11",4.04873614023936,"Mangrove","Lutjanus griseus"
"Mangrove_Dist",72.0154969789596,"Mangrove Distance","Lutjanus griseus"
"Depth",100,"Depth","Lutjanus griseus"
"Slope",6.70044942551465,"Slope","Lutjanus griseus"
"Curvature",0,"Curvature","Lutjanus griseus"
"Rugosity",19.8396719938824,"Rugosity","Lutjanus griseus"
"BPI_Broad",6.42144269992417,"BPI Broad","Lutjanus griseus"
"BPI_Fine",22.5360708294871,"BPI Fine","Lutjanus griseus"
"Mean_Sum_Temp",57.6727934876092,"Summer Temperature","Lutjanus griseus"
"Mean_Sum_Sal",12.4586210534486,"Summer Salinity","Lutjanus griseus"
"Mean_Win_Sal",27.804574006528,"Winter Salinity","Lutjanus griseus"
"Habitat21",0.681939165582815,"Scattered Coral/Rock","Haemulon sciurus"
"Habitat31",4.73524719528862,"Continuous Seagrass","Haemulon sciurus"
"Habitat41",23.9163210790326,"Discontinuous Seagrass","Haemulon sciurus"
"Habitat51",14.012960004562,"Unconsolidated Sediment","Haemulon sciurus"
"Habitat61",12.592945893367,"Aggregate Reef","Haemulon sciurus"
"Habitat81",32.4226164995936,"Pavement","Haemulon sciurus"
"Habitat101",19.3655018807809,"Reef Rubble","Haemulon sciurus"
"Habitat111",16.5365580503196,"Mangrove","Haemulon sciurus"
"Mangrove_Dist1",5.53664663922326,"Mangrove Distance","Haemulon sciurus"
"Depth1",39.6023826007812,"Depth","Haemulon sciurus"
"Slope1",15.9859778546108,"Slope","Haemulon sciurus"
"Curvature1",0,"Curvature","Haemulon sciurus"
"Rugosity1",4.45418658153782,"Rugosity","Haemulon sciurus"
"BPI_Broad1",5.71996038801508,"BPI Broad","Haemulon sciurus"
"BPI_Fine1",5.20875975991398,"BPI Fine","Haemulon sciurus"
"Mean_Sum_Temp1",2.841923658136,"Summer Temperature","Haemulon sciurus"
"Mean_Sum_Sal1",34.8930805811521,"Summer Salinity","Haemulon sciurus"
"Mean_Win_Sal1",100,"Winter Salinity","Haemulon sciurus"
