"SPECIES_CD","LIFE_STAGE","PRES","PRES2","N","SOURCE","LON_M","LAT_M","Habitat","Mangrove_Dist","Depth","StDev_Depth","Slope","Curvature","Plan_Curve","BPI_Fine","BPI_Broad","Rugosity","Mean_Sum_Temp","Mean_Sum_DO","Mean_Sum_Sal","Mean_Win_Temp","Mean_Win_DO","Mean_Win_Sal"
"HAE SCIU","SUBADULT","1","PRESENCE",5.25,"REEF VISUAL CENSUS",267088.727153115,79092.1561250802,8,9349.6669921875,-23.862585067749,0.207043632864952,2.89610767364502,0.301101684570312,0.313988715410233,-9,-883,1.000035405159,29.9479751586914,6.19393825531006,35.562328338623,23.6400909423828,6.92035293579102,36.2138900756836
"HAE SCIU","SUBADULT","1","PRESENCE",35.5,"REEF VISUAL CENSUS",267118.051227198,79080.115014434,8,9372.09375,-25.0558071136475,0.146810248494148,2.05393052101135,-0.174964904785156,-0.117677450180054,-9,-956,1.00000715255737,29.9466495513916,6.19389533996582,35.5630683898926,23.6403789520264,6.92049884796143,36.2106628417969
"HAE SCIU","SUBADULT","1","PRESENCE",3,"REEF VISUAL CENSUS",221536.895918084,44512.8892783202,8,8961.45703125,-23.7462635040283,0.203077137470245,2.83673930168152,-0.363075256347656,-0.232174217700958,-9,-518,1.00002920627594,30.5014495849609,6.1012225151062,35.9539985656738,24.2151966094971,6.86744499206543,36.0118637084961
"HAE SCIU","SUBADULT","1","PRESENCE",5.625,"REEF VISUAL CENSUS",221525.814792936,44482.9659882217,8,8987.314453125,-24.2706489562988,0.174496203660965,2.403080701828,-0.773368835449219,-0.36975759267807,-9,-518,1.00009500980377,30.5012340545654,6.10098552703857,35.9479064941406,24.2143039703369,6.86789512634277,36.0088386535645
"HAE SCIU","SUBADULT","1","PRESENCE",9,"REEF VISUAL CENSUS",169907.683828659,26146.6530003946,8,9318.9501953125,-20.7107276916504,0.229627221822739,3.21082425117493,0.310623168945312,0.362719744443893,-9,-518,1.00005424022675,30.4397239685059,6.09493827819824,35.7052688598633,24.2774696350098,6.8753924369812,35.9746284484863
"HAE SCIU","SUBADULT","1","PRESENCE",3.75,"REEF VISUAL CENSUS",169945.155543549,26143.2494206651,8,9338.4482421875,-21.9512596130371,0.138264819979668,1.90855991840363,-0.313850402832031,-0.0923991650342941,-624,-591,1.0000319480896,30.4398136138916,6.09475898742676,35.700309753418,24.2756214141846,6.87603950500488,35.9727554321289
"HAE SCIU","SUBADULT","1","PRESENCE",3,"REEF VISUAL CENSUS",196881.055852785,34617.6529467756,1,7985.27099609375,-24.3551654815674,NA,0.374624073505402,-0.035552978515625,-0.0123776216059923,-9,-1028,1.0000011920929,30.4838447570801,6.08597660064697,35.5109748840332,23.8290767669678,6.93593788146973,35.7418556213379
"HAE SCIU","SUBADULT","1","PRESENCE",0.5,"REEF VISUAL CENSUS",223963.419541961,45862.6508442887,6,8617.99609375,-25.5619220733643,0.223454475402832,3.08109164237976,-0.537376403808594,0.104821868240833,-9,-737,1.00015187263489,30.4872055053711,6.10620975494385,35.7907791137695,24.2231616973877,6.88070821762085,36.0131225585938
"HAE SCIU","SUBADULT","1","PRESENCE",5,"REEF VISUAL CENSUS",248509.716720123,63754.9634204203,8,7504.37744140625,-27.6776809692383,0.319866955280304,4.45225095748901,-1.13041687011719,-0.404028385877609,-1239,-810,1.00020349025726,30.4936847686768,6.1171703338623,35.5719261169434,24.2230014801025,6.88394117355347,36.1241607666016
"HAE SCIU","SUBADULT","1","PRESENCE",0.5,"REEF VISUAL CENSUS",290493.804524523,137580.815106739,6,9005.3212890625,-8.10221099853516,0.0702797099947929,0.930683851242065,-0.250617980957031,-0.0787637457251549,605,355,1.00002086162567,30.3548126220703,6.12657737731934,35.5563812255859,23.752082824707,6.89769172668457,35.9901084899902
"HAE SCIU","SUBADULT","1","PRESENCE",3.5,"REEF VISUAL CENSUS",290473.390595735,137775.66474721,6,9066.0927734375,-7.11662721633911,0.237981304526329,3.28041124343872,0.435298919677734,-0.30177104473114,1220,355,1.00032293796539,30.3518371582031,6.12740707397461,35.5615463256836,23.7555713653564,6.89566993713379,35.9980506896973
"HAE SCIU","SUBADULT","1","PRESENCE",1,"REEF VISUAL CENSUS",290281.620513334,137901.771949866,6,8922.8701171875,-8.6774730682373,0.278887391090393,3.90475583076477,-0.233261108398438,-0.221956789493561,-9,64,1.00002896785736,30.3485145568848,6.12816095352173,35.564811706543,23.7417678833008,6.89441394805908,36.0138130187988
"HAE SCIU","SUBADULT","1","PRESENCE",3.75,"REEF VISUAL CENSUS",290872.183519242,139709.428687595,6,10267.5966796875,-5.56013679504395,0.179200813174248,2.43778204917908,0.884286880493164,0.207947358489037,605,647,1.0001540184021,30.3348274230957,6.12915992736816,35.5967826843262,23.8217258453369,6.88264226913452,36.0127410888672
"HAE SCIU","SUBADULT","1","PRESENCE",0.5,"REEF VISUAL CENSUS",290899.225430029,139721.799953226,6,10296.73828125,-6.83965969085693,0.303327143192291,4.17902612686157,-0.766149520874023,-0.37529468536377,605,574,1.00032997131348,30.3352203369141,6.12888431549072,35.5959701538086,23.8224678039551,6.88293409347534,36.0093002319336
"HAE SCIU","SUBADULT","1","PRESENCE",0.5,"REEF VISUAL CENSUS",286533.469699034,115365.199155544,10,8354.8798828125,-6.02741527557373,0.0728636384010315,0.992643773555756,0.15233039855957,0.0219908375293016,-9,428,1.0000262260437,30.4687995910645,6.08382225036621,35.5109748840332,23.6194839477539,6.92913007736206,35.7589416503906
"HAE SCIU","SUBADULT","1","PRESENCE",9,"REEF VISUAL CENSUS",287597.534511312,118887.293060616,8,7961.84814453125,-9.44334125518799,0.216285437345505,3.04301714897156,-0.469425201416016,-0.324925512075424,-9,64,1.00004780292511,30.4994220733643,6.07122325897217,35.5109748840332,23.6083927154541,6.9356861114502,35.8005256652832
"HAE SCIU","SUBADULT","1","PRESENCE",0.5,"REEF VISUAL CENSUS",287680.923917966,118752.678913743,8,8097.76708984375,-12.7749462127686,0.10832642018795,1.52526819705963,-0.115333557128906,-0.0662590861320496,-9,-81,1.00000309944153,30.4987106323242,6.07100248336792,35.5109748840332,23.617488861084,6.9356861114502,35.7797813415527
"HAE SCIU","SUBADULT","1","PRESENCE",4.5,"REEF VISUAL CENSUS",287670.818559586,118759.260094823,8,8083.625,-12.5665435791016,0.100111693143845,1.38450241088867,-0.412612915039062,-0.0794296488165855,-9,-81,1.00003850460052,30.4987564086914,6.07104015350342,35.5109748840332,23.616491317749,6.9356861114502,35.7819061279297
"HAE SCIU","SUBADULT","1","PRESENCE",0.5,"REEF VISUAL CENSUS",285514.532510919,113363.464398913,5,8520.63671875,-13.984302520752,0.0776783004403114,1.08955001831055,-0.0130882263183594,-0.00173727632500231,-9,-81,1.00000178813934,30.4482078552246,6.09851026535034,35.5109748840332,23.6212482452393,6.9130687713623,35.8596229553223
"HAE SCIU","SUBADULT","1","PRESENCE",6.5,"REEF VISUAL CENSUS",289736.884927022,129693.1380555,8,7172.8427734375,-9.58926105499268,0.0279847830533981,0.389259845018387,0.00177001953125,-0.051099669188261,-9,355,1.0000022649765,30.4676837921143,6.08926391601562,35.5109748840332,23.6936416625977,6.90903759002686,36.0457878112793
"HAE SCIU","SUBADULT","0","ABSENCE",0,"REEF VISUAL CENSUS",289750.118412872,129668.85360259,8,7179.55859375,-9.48660469055176,0.0411543063819408,0.578044712543488,0.00986480712890625,0.0262621901929379,-9,355,1.00000095367432,30.4679641723633,6.08915710449219,35.5109748840332,23.6954612731934,6.90881395339966,36.0415954589844
"HAE SCIU","SUBADULT","1","PRESENCE",2,"REEF VISUAL CENSUS",291013.725541526,142959.847775688,6,13016.16015625,-11.512791633606,0.199800744652748,2.79707264900208,-0.175815582275391,-0.193047150969505,-9,355,1.00001192092896,30.3551826477051,6.09791231155396,35.5228042602539,23.7069931030273,6.91296148300171,35.6684875488281
"HAE SCIU","SUBADULT","1","PRESENCE",4.5,"REEF VISUAL CENSUS",239476.581255446,58741.5196348039,4,10704.3203125,-6.93822002410889,0.0402848459780216,0.552741527557373,-0.154417037963867,-0.0187290236353874,-9,-8,1.00000655651093,30.4880218505859,6.11417627334595,35.6232948303223,24.3901252746582,6.8527774810791,36.2114105224609
"HAE SCIU","SUBADULT","1","PRESENCE",1,"REEF VISUAL CENSUS",239445.336019738,58712.6307019348,4,10746.7470703125,-6.68132638931274,0.0282405987381935,0.389810532331467,-0.07586669921875,0.0113100493326783,-9,-8,1.00000262260437,30.4872875213623,6.11438512802124,35.625804901123,24.3909740447998,6.85167551040649,36.2118873596191
"HAE SCIU","SUBADULT","1","PRESENCE",0.5,"REEF VISUAL CENSUS",275050.686465615,93582.2894961943,1,9228.0380859375,-8.71501350402832,0.763395249843597,10.3813772201538,2.69199371337891,0.0233718175441027,1220,-8,1.00214302539825,30.3263492584229,6.15231847763062,35.5160789489746,23.7067966461182,6.91023874282837,36.4451522827148
"HAE SCIU","SUBADULT","1","PRESENCE",2,"REEF VISUAL CENSUS",275057.938805343,93546.8805043069,1,9266.02734375,-9.47182464599609,0.505160987377167,7.08920574188232,-1.11138916015625,-0.682073533535004,605,-8,1.00032567977905,30.3247623443604,6.15250396728516,35.5162048339844,23.709493637085,6.90994119644165,36.4448165893555
"HAE SCIU","SUBADULT","1","PRESENCE",1,"REEF VISUAL CENSUS",156312.93117275,24243.1220654714,1,8031.732421875,-9.2755708694458,0.0432896614074707,0.587348163127899,-0.122589111328125,0.0130875622853637,-9,64,1.00000929832458,30.3849697113037,6.11885786056519,35.5538940429688,24.5143661499023,6.88373184204102,36.0898399353027
"HAE SCIU","SUBADULT","1","PRESENCE",9,"REEF VISUAL CENSUS",150315.846112498,22962.7983100776,1,8557.2138671875,-8.25729179382324,0.043874267488718,0.605952382087708,0.0220298767089844,0.0325043201446533,-9,64,1.00000131130219,30.4038257598877,6.10301971435547,35.8292121887207,24.3786392211914,6.86665534973145,36.0226936340332
"HAE SCIU","SUBADULT","1","PRESENCE",11.25,"REEF VISUAL CENSUS",150351.256715236,22948.2732062524,3,8557.716796875,-8.31878662109375,0.0493689812719822,0.691472411155701,-0.0916862487792969,-0.0538887083530426,-9,64,1.00000154972076,30.4036293029785,6.10326337814331,35.8324508666992,24.3791160583496,6.86627912521362,36.0255470275879
"HAE SCIU","SUBADULT","1","PRESENCE",1,"REEF VISUAL CENSUS",163366.581015813,25192.0112544938,8,7818.9951171875,-8.03025722503662,0.0154601847752929,0.207342743873596,0.0127716064453125,-0.0177949704229832,-9,64,1.00000131130219,30.4026794433594,6.11205673217773,35.5559616088867,24.4947776794434,6.86570119857788,36.095458984375
