"SPECIES_CD","LIFE_STAGE","PRES","N","SOURCE","LON_M","LAT_M","Habitat","Mangrove_Dist","Depth","SD_Depth","Slope","Curvature","Plan_Curve","BPI_Fine","BPI_Broad","Rugosity","Mean_Sum_Temp","Mean_Sum_DO","Mean_Sum_Sal","Mean_Win_Temp","Mean_Win_DO","Mean_Win_Sal"
"LUT GRIS","SUBADULT","PRESENCE",0.5,"REEF VISUAL CENSUS",289547.161144374,129047.084710932,"6",6910,-8.43060302734375,0.0801009312272072,1.06316101551056,-0.117477402091026,-0.0604946203529835,-13,271,1.0000319480896,30.4746894836426,6.08553266525269,35.5109748840332,23.6966648101807,6.89277505874634,36.0862045288086
"LUT GRIS","SUBADULT","PRESENCE",0.5,"REEF VISUAL CENSUS",290872.183519242,139709.428687595,"6",10264.6669921875,-5.56013679504395,0.179200798273087,2.43778204917908,0.884286880493164,0.20794740319252,402,493,1.0001540184021,30.3348274230957,6.12915992736816,35.5967826843262,23.8217258453369,6.86670732498169,36.0127410888672
"LUT GRIS","SUBADULT","PRESENCE",7.875,"REEF VISUAL CENSUS",287597.534511312,118887.293060616,"8",7959.77685546875,-9.44334125518799,0.216285392642021,3.04301691055298,-0.469425201416016,-0.324925512075424,-13,48,1.00004804134369,30.4994220733643,6.07122325897217,35.5109748840332,23.6083927154541,6.93706321716309,35.8005256652832
"LUT GRIS","SUBADULT","PRESENCE",5.5,"REEF VISUAL CENSUS",289753.287012413,128446.89079861,"8",7171.6044921875,-11.1622705459595,0.184853807091713,2.49310398101807,0.525009214878082,0.0673297718167305,402,159,1.00011301040649,30.4816074371338,6.08222627639771,35.5109748840332,23.7309551239014,6.88531970977783,36.017391204834
"LUT GRIS","SUBADULT","PRESENCE",0.5,"REEF VISUAL CENSUS",286777.356400086,115784.42762739,"6",8423.8388671875,-10.624608039856,0.0558884404599667,0.774749577045441,-0.0896224975585938,0.0192544497549534,-13,104,1.0000079870224,30.4730472564697,6.080970287323,35.5109748840332,23.6242485046387,6.93676853179932,35.745059967041
"LUT GRIS","SUBADULT","PRESENCE",7.663,"REEF VISUAL CENSUS",274870.689819793,90390.8853164793,"5",10291.4169921875,-7.84441804885864,0.0575716681778431,0.806470215320587,0.135898604989052,0.0798095315694809,-13,215,1.00000405311584,30.1866073608398,6.17268753051758,35.529426574707,23.8990688323975,6.85941362380981,36.3675079345703
"LUT GRIS","SUBADULT","PRESENCE",3.536,"REEF VISUAL CENSUS",263923.64372103,76168.0577468624,"5",9527.6767578125,-6.45957326889038,0.12926410138607,1.78434801101685,-0.351638793945312,-0.00640161195769906,-13,159,1.00004005432129,30.0610523223877,6.1798095703125,35.5980567932129,23.8679695129395,6.90249443054199,36.2083053588867
"LUT GRIS","SUBADULT","PRESENCE",5,"REEF VISUAL CENSUS",289965.582378254,132164.130477988,"6",6891.98486328125,-6.93954610824585,0.0859134271740913,1.20509898662567,-0.181419402360916,-0.0564176216721535,402,326,1.00000703334808,30.4346199035645,6.10233974456787,35.5109748840332,23.6656875610352,6.93093299865723,36.0069885253906
"LUT GRIS","SUBADULT","PRESENCE",7.5,"REEF VISUAL CENSUS",290548.765427956,136589.629636807,"6",8647.3212890625,-11.1861953735352,0.53598028421402,7.48516988754272,-0.116313897073269,-0.528160989284515,-13,104,1.00019299983978,30.3697624206543,6.12234687805176,35.533374786377,23.7344722747803,6.9070291519165,35.9574241638184
"LUT GRIS","SUBADULT","PRESENCE",1,"REEF VISUAL CENSUS",274919.682619328,89734.2423925868,"8",10612.7265625,-10.0719871520996,0.228664800524712,3.05234003067017,-0.0415992699563503,-0.374076187610626,402,48,1.00028002262115,30.1547737121582,6.17617988586426,35.5236663818359,23.9427337646484,6.85084342956543,36.3329811096191
