"","Overall","Variable","Species","Life_Stage"
"Habitat2",13.8098733551926,"Scattered Coral/Rock","Lutjanus griseus","Subadult"
"Habitat3",0,"Continuous Seagrass","Lutjanus griseus","Subadult"
"Habitat4",28.5545479894072,"Discontinuous Seagrass","Lutjanus griseus","Subadult"
"Habitat5",23.5595359776378,"Unconsolidated Sediment","Lutjanus griseus","Subadult"
"Habitat6",0,"Aggregate Reef","Lutjanus griseus","Subadult"
"Habitat8",47.2176003335788,"Pavement","Lutjanus griseus","Subadult"
"Habitat10",49.6410017869279,"Reef Rubble","Lutjanus griseus","Subadult"
"Habitat11",0,"Mangrove","Lutjanus griseus","Subadult"
"Mangrove_Dist",57.1531077410624,"Mangrove Distance","Lutjanus griseus","Subadult"
"Depth",100,"Depth","Lutjanus griseus","Subadult"
"Slope",0,"Slope","Lutjanus griseus","Subadult"
"Curvature",0,"Curvature","Lutjanus griseus","Subadult"
"BPI_Fine",28.5948289968783,"BPI Fine","Lutjanus griseus","Subadult"
"BPI_Broad",0.400820374973619,"BPI Broad","Lutjanus griseus","Subadult"
"Rugosity",3.96667891608486,"Rugosity","Lutjanus griseus","Subadult"
"Mean_Sum_Temp",38.4700757087226,"Summer Temperature","Lutjanus griseus","Subadult"
"Mean_Sum_Sal",0,"Summer Salinity","Lutjanus griseus","Subadult"
"Mean_Win_Temp",35.5705073019269,"Winter Temperature","Lutjanus griseus","Subadult"
"Mean_Win_Sal",36.8843972384916,"Winter Salinity","Lutjanus griseus","Subadult"
"Habitat21",2.23251337625701,"Scattered Coral/Rock","Haemulon sciurus","Subadult"
"Habitat31",5.28574058567471,"Continuous Seagrass","Haemulon sciurus","Subadult"
"Habitat41",15.5468109784518,"Discontinuous Seagrass","Haemulon sciurus","Subadult"
"Habitat51",20.4209316272469,"Unconsolidated Sediment","Haemulon sciurus","Subadult"
"Habitat61",10.9790256502029,"Aggregate Reef","Haemulon sciurus","Subadult"
"Habitat81",30.1289151728102,"Pavement","Haemulon sciurus","Subadult"
"Habitat101",14.0365340830018,"Reef Rubble","Haemulon sciurus","Subadult"
"Habitat111",8.21139265625658,"Mangrove","Haemulon sciurus","Subadult"
"Mangrove_Dist1",0.146329849182292,"Mangrove Distance","Haemulon sciurus","Subadult"
"Depth1",50.9633789014788,"Depth","Haemulon sciurus","Subadult"
"Slope1",1.56968191606502,"Slope","Haemulon sciurus","Subadult"
"Curvature1",3.15855238987454,"Curvature","Haemulon sciurus","Subadult"
"BPI_Fine1",2.1318296784513,"BPI Fine","Haemulon sciurus","Subadult"
"BPI_Broad1",17.2661110361296,"BPI Broad","Haemulon sciurus","Subadult"
"Rugosity1",2.20601953140575,"Rugosity","Haemulon sciurus","Subadult"
"Mean_Sum_Temp1",0,"Summer Temperature","Haemulon sciurus","Subadult"
"Mean_Sum_Sal1",26.6816671873589,"Summer Salinity","Haemulon sciurus","Subadult"
"Mean_Win_Temp1",11.6079776587645,"Winter Temperature","Haemulon sciurus","Subadult"
"Mean_Win_Sal1",100,"Winter Salinity","Haemulon sciurus","Subadult"
