"","Overall","Variable","Species"
"1",2.2804,"BPI Broad","Lutjanus griseus"
"2",0.6819,"BPI Broad","Haemulon sciurus"
"3",4e-04,"BPI Fine","Lutjanus griseus"
"4",0,"BPI Fine","Haemulon sciurus"
"5",0,"Curvature","Lutjanus griseus"
"6",5e-04,"Curvature","Haemulon sciurus"
"7",5.9223,"Depth","Lutjanus griseus"
"8",4.02,"Depth","Haemulon sciurus"
"9",52.4547,"Habitat","Lutjanus griseus"
"10",56.8971,"Habitat","Haemulon sciurus"
"11",28.5308,"Mangrove Distance","Lutjanus griseus"
"12",9.2806,"Mangrove Distance","Haemulon sciurus"
"13",0,"Summer Salinity","Lutjanus griseus"
"14",3e-04,"Summer Salinity","Haemulon sciurus"
"15",0.1846,"Summer Temperature","Lutjanus griseus"
"16",0.0011,"Summer Temperature","Haemulon sciurus"
"17",0.1542,"Winter Salinity","Lutjanus griseus"
"18",0.5695,"Winter Salinity","Haemulon sciurus"
"19",1e-04,"Winter Temperature","Lutjanus griseus"
"20",0.4779,"Winter Temperature","Haemulon sciurus"
"21",0,"Rugosity","Lutjanus griseus"
"22",0,"Rugosity","Haemulon sciurus"
"23",10.4724,"Slope","Lutjanus griseus"
"24",28.0711,"Slope","Haemulon sciurus"
