"","Overall","Variable","Species","Life_Stage"
"Habitat2",26.7749535684955,"Scattered Coral/Rock","Lutjanus griseus","Subadult"
"Habitat3",0.726770556100498,"Continuous Seagrass","Lutjanus griseus","Subadult"
"Habitat4",49.9728810988031,"Discontinuous Seagrass","Lutjanus griseus","Subadult"
"Habitat5",41.2381833883057,"Unconsolidated Sediment","Lutjanus griseus","Subadult"
"Habitat6",6.43239597267123,"Aggregate Reef","Lutjanus griseus","Subadult"
"Habitat8",78.3345726333717,"Pavement","Lutjanus griseus","Subadult"
"Habitat10",54.2349391955555,"Reef Rubble","Lutjanus griseus","Subadult"
"Habitat11",0.793466333752368,"Mangrove","Lutjanus griseus","Subadult"
"Mangrove_Dist",87.1208661596942,"Mangrove Distance","Lutjanus griseus","Subadult"
"Depth",100,"Depth","Lutjanus griseus","Subadult"
"Slope",0.339417715444973,"Slope","Lutjanus griseus","Subadult"
"Curvature",5.56795460946634,"Curvature","Lutjanus griseus","Subadult"
"BPI_Fine",35.0386549475089,"BPI Fine","Lutjanus griseus","Subadult"
"BPI_Broad",35.1605471822016,"BPI Broad","Lutjanus griseus","Subadult"
"Rugosity",17.4828119389298,"Rugosity","Lutjanus griseus","Subadult"
"Mean_Sum_Temp",58.8419404838944,"Summer Temperature","Lutjanus griseus","Subadult"
"Mean_Sum_Sal",0,"Summer Salinity","Lutjanus griseus","Subadult"
"Mean_Win_Temp",61.2061463633683,"Winter Temperature","Lutjanus griseus","Subadult"
"Mean_Win_Sal",42.5443670452599,"Winter Salinity","Lutjanus griseus","Subadult"
"Habitat21",5.33392199095146,"Scattered Coral/Rock","Haemulon sciurus","Subadult"
"Habitat31",6.18911345656605,"Continuous Seagrass","Haemulon sciurus","Subadult"
"Habitat41",20.8564958154526,"Discontinuous Seagrass","Haemulon sciurus","Subadult"
"Habitat51",26.5684577330401,"Unconsolidated Sediment","Haemulon sciurus","Subadult"
"Habitat61",21.283646964727,"Aggregate Reef","Haemulon sciurus","Subadult"
"Habitat81",40.410965232939,"Pavement","Haemulon sciurus","Subadult"
"Habitat101",19.4164155578203,"Reef Rubble","Haemulon sciurus","Subadult"
"Habitat111",12.117611607832,"Mangrove","Haemulon sciurus","Subadult"
"Mangrove_Dist1",8.91732973774881,"Mangrove Distance","Haemulon sciurus","Subadult"
"Depth1",47.2358899456356,"Depth","Haemulon sciurus","Subadult"
"Slope1",13.6095875001588,"Slope","Haemulon sciurus","Subadult"
"Curvature1",7.85575238235102,"Curvature","Haemulon sciurus","Subadult"
"BPI_Fine1",2.43773595040664,"BPI Fine","Haemulon sciurus","Subadult"
"BPI_Broad1",6.06840740029313,"BPI Broad","Haemulon sciurus","Subadult"
"Rugosity1",0,"Rugosity","Haemulon sciurus","Subadult"
"Mean_Sum_Temp1",0.780782495962178,"Summer Temperature","Haemulon sciurus","Subadult"
"Mean_Sum_Sal1",37.3157477555235,"Summer Salinity","Haemulon sciurus","Subadult"
"Mean_Win_Temp1",17.7283726885842,"Winter Temperature","Haemulon sciurus","Subadult"
"Mean_Win_Sal1",100,"Winter Salinity","Haemulon sciurus","Subadult"
