"BASIN","SITE","LON_M","LAT_M","MEAN_WIN_TEMP","SD_WIN_TEMP","MEAN_WIN_SAL","SD_WIN_SAL","MEAN_WIN_DO","SD_WIN_DO","optional"
"FK","Fowey Rocks",290413.44568122,139502.456157692,24.00396,0.464927169565298,36.29204,0.12472955944763,6.834664,0.0360509546336849,TRUE
"FK","Sands Key",283938.992408443,130597.182280952,22.93256,1.51492757681679,36.28546,0.536810840054482,7.038632,0.146624079093442,TRUE
"FK","Triumph Reef",288717.74421451,127363.138715648,23.83464,0.646396506023973,36.32598,0.110404854965712,6.83762,0.0742831060874545,TRUE
"FK","Old Rhodes Key",278999.353245816,114440.353425911,22.88394,1.25682926963052,36.22162,0.432206365061877,6.947422,0.17483164336012,TRUE
"FK","Old Rhodes Key Reef",284208.153081245,110103.741996653,23.77386,0.50608684827804,36.34976,0.123185644455838,6.832882,0.0797937815246275,TRUE
"FK","Pennekamp G27",274346.628542351,108149.206010077,22.94614,1.35809877696727,35.50528,1.00699280384718,6.950486,0.227077582623208,TRUE
"FK","Turtle Reef",281820.181242345,103233.853766507,23.93026,0.666361630798172,36.30364,0.109435611205859,6.83727,0.066771815910607,TRUE
"FK","Port Elizabeth",270603.186727229,101296.263322305,23.09236,1.40911806744503,35.59784,1.20607824082851,6.962906,0.181190735221203,TRUE
"FK","Carysfort Channel",271637.400261312,100245.978945531,23.0868,1.32409964692994,36.00552,0.673371596520079,6.92265,0.195465218389359,TRUE
"FK","Rattlesnake Key",266545.442725131,93202.2818367265,22.95252,1.49916570698506,35.92368,0.798776647129845,6.935298,0.232857289492943,TRUE
"FK","White Bank",271120.308941014,91635.8204706023,23.3936,1.25775184555619,36.47554,0.176535174965216,6.883694,0.15390905879772,TRUE
"FK","The Elbow",274815.592405792,89775.764824878,24.15292,0.642443485452223,36.29744,0.0946159764521852,6.824248,0.0527380277409006,TRUE
"FK","Radabob Key",263192.144804493,86565.2293249451,23.22366,1.27129680956101,36.1162,0.727186609475176,6.88681,0.214187200481261,TRUE
"FK","Dixie Shoal",269332.232890413,82033.3674270386,23.17848,0.366906591655151,36.32234,0.0500703305361569,6.871288,0.106776692072755,TRUE
"FK","Mosquito Bank",258204.901161647,80631.0229782319,23.1355,1.64126481257596,36.39102,0.272560804225405,6.850508,0.319697318912749,TRUE
"FK","Molasses Reef Channel",261029.453363482,77391.05900415,24.19296,0.427074786190897,36.31876,0.138863360898403,6.731588,0.18374386729902,TRUE
"FK","Molasses Reef",263849.320543408,75873.0531556761,23.8944,0.647699266635373,36.30316,0.0916152989407329,6.911368,0.117533472126029,TRUE
"FK","Tavernier Harbor",250319.667678886,74863.9444601849,23.62362,1.9272582888653,36.38046,0.630118229382392,6.754034,0.404225267307723,TRUE
"FK","Triangles",253005.538075898,74128.5981462304,23.49454,1.20698874808343,36.41712,0.158628030309907,6.798504,0.282596423508862,TRUE
"FK","Plantation Point",244213.47355885,68387.2109454314,24.21774,1.51148967346787,36.3761,0.425117918935442,6.858692,0.120556222029392,TRUE
"FK","The Rocks",245283.722193344,67230.9515835503,23.92106,0.934105836080687,36.36484,0.186582643887366,6.887508,0.0782343474440734,TRUE
"FK","Davis Reef",250200.063953307,65625.2817146383,24.2643,0.574496771096235,36.29976,0.111562058962712,6.77567,0.094459347340536,TRUE
"FK","Upper Matecumbe Key",240551.176300679,65818.2572503854,24.15676,1.59325338631368,36.3662,0.491848309949317,6.793246,0.189884940635112,TRUE
"FK","Lower Matecumbe Key",233482.742549666,59618.4177462345,24.51972,1.15504655620455,36.40548,0.240773165032983,6.740556,0.15539452574013,TRUE
"FK","Alligator Reef",235472.307139538,55350.0385072088,24.46822,0.931216369594092,36.24322,0.0834566773841384,6.752042,0.121949787084685,TRUE
"FK","Lower Matecumbe Channel",228693.713595995,51964.7959525472,24.09488,1.50488475538827,36.3379,0.166083186987725,6.758028,0.247208980662111,TRUE
"FK","Long Key",219321.177287493,51975.0853167899,23.79488,2.9843171190408,36.03864,0.64499635115247,6.89444,0.354688306615823,TRUE
"FK","Long Key Channel",218984.144454044,50759.5372966913,23.36004,3.00379497352932,36.23498,0.505017684838857,6.996186,0.324762313284654,TRUE
"FK","Tennessee Reef",221916.528409015,45613.3643961961,24.45774,1.2623040651919,36.2422,0.184513590285378,6.785056,0.129971742428883,TRUE
"FK","Key Colony Beach",198871.873914895,42071.6062645928,23.2556,2.51634054531576,35.72302,0.330346404551343,7.089436,0.271334650717523,TRUE
"FK","Coffins Patch Channel",203372.816289833,39689.4804362449,23.7284,1.82102604868794,36.12326,0.257670648309038,6.855906,0.228984933412659,TRUE
"FK","Coffins Patch Offshore",204220.376428202,37843.3146200207,23.95268,1.02609252604236,36.1826,0.122548419002449,6.824198,0.133309546244821,TRUE
"FK","Bahia Honda Key",173174.12473416,35976.7519465106,24.32558,2.29727295983738,35.7951,0.446201736885907,6.839372,0.2566634862422,TRUE
"FK","Bahia Honda Channel",175387.846389119,31958.6400229389,23.47576,1.93020120272473,36.17974,0.23104799934213,6.892296,0.246260488466989,TRUE
"FK","Big Pine Shoal",167417.182294319,26291.8042865353,24.465,1.10056791476037,36.23216,0.102458933236687,6.746656,0.144277709054448,TRUE
"FK","Newfound Harbor Keys",157817.82535297,32423.8988452228,25.26346,2.45648054500743,36.10926,0.183443814286555,6.712192,0.265507947093868,TRUE
"FK","Looe Key",159737.182071843,23881.7160928289,24.40168,1.36932604846326,36.19206,0.0538576642642419,6.739748,0.201048848467232,TRUE
"FK","American Shoal",150624.083678857,21878.4387830151,24.33682,1.02177826214889,36.24162,0.131301473716026,6.785272,0.11783087231282,TRUE
"FK","Arsenic Bank",211621.078540647,59077.5161797835,24.12676,2.54171452035826,35.21866,0.850341427310232,6.943082,0.274192615546079,TRUE
"FK","Tripod Bank",204210.532136223,60180.9007192158,23.89166,2.42447997785092,33.85436,1.19934771771993,7.228518,0.557410157487285,TRUE
"FK","Channel Key Pass",208059.601875589,52795.7553525286,24.4623,2.09594944953355,36.0291,1.17209389555615,6.8507,0.196414794249313,TRUE
"FK","Bamboo Banks",199158.094685626,56857.3529031205,24.02098,2.38772922501694,34.04592,1.35505140935686,7.106052,0.385518616243107,TRUE
"FK","Bamboo Key",196662.875646553,49223.9038800229,24.1638,2.20819438003089,35.811,0.606761266891683,6.896616,0.232654241053113,TRUE
"FK","Bluefish Bank",178148.613475047,58646.8907121853,23.5069,2.18504477528494,35.35926,0.721515029642488,7.061752,0.28589604224263,TRUE
